Filename,Tag,Count
scw_01-23_sa_v6.csv,sap hana,1527
scw_01-23_sa_v6.csv,sap cloud platform,955
scw_01-23_sa_v6.csv,sap netweaver,558
scw_01-23_sa_v6.csv,sap fiori,298
scw_01-23_sa_v6.csv,sap predictive analytics,160
scw_01-23_sa_v6.csv,sap operational process intelligence,115
scw_01-23_sa_v6.csv,sap hana cloud,105
scw_01-23_sa_v6.csv,sap screen personas,104
scw_01-23_sa_v6.csv,sap gateway,96
scw_01-23_sa_v6.csv,sap web ide,88
scw_01-23_sa_v6.csv,sap hybris,73
scw_01-23_sa_v6.csv,sap cloud connector,63
scw_01-23_sa_v6.csv,sap task center,59
scw_01-23_sa_v6.csv,sap lumira,57
scw_01-23_sa_v6.csv,sap hana cloud platform,53
scw_01-23_sa_v6.csv,sap businessobjects,46
scw_01-23_sa_v6.csv,sap erp,44
scw_01-23_sa_v6.csv,sap intelligent robotic process automation,43
scw_01-23_sa_v6.csv,sap bw,42
scw_01-23_sa_v6.csv,sap cp,37
scw_01-23_sa_v6.csv,sap marketing,33
scw_01-23_sa_v6.csv,sap infiniteinsight,32
scw_01-23_sa_v6.csv,sap dcm,28
scw_01-23_sa_v6.csv,sap crm,24
scw_01-23_sa_v6.csv,sap cf,24
scw_01-23_sa_v6.csv,sap predictive analysis,22
scw_01-23_sa_v6.csv,sap ii,22
scw_01-23_sa_v6.csv,sap business suite,22
scw_01-23_sa_v6.csv,sap business application studio,21
scw_01-23_sa_v6.csv,sap vora,18
scw_01-23_sa_v6.csv,sap process integration,18
scw_01-23_sa_v6.csv,sap jam,18
scw_01-23_sa_v6.csv,sap data hub,16
scw_01-23_sa_v6.csv,sap cloud identity,16
scw_01-23_sa_v6.csv,sap solution manager,15
scw_01-23_sa_v6.csv,sap ase,15
scw_01-23_sa_v6.csv,sap cloud alm,14
scw_01-23_sa_v6.csv,sap bobj,13
scw_01-23_sa_v6.csv,sap river,12
scw_01-23_sa_v6.csv,sap predictive service,11
scw_01-23_sa_v6.csv,sap product stewardship network,10
scw_01-23_sa_v6.csv,sap process mining,10
scw_01-23_sa_v6.csv,sap intelligent rpa,10
scw_01-23_sa_v6.csv,sap lt replication server,9
scw_01-23_sa_v6.csv,sap hana cloud connector,9
scw_01-23_sa_v6.csv,sap application interface framework,9
scw_01-23_sa_v6.csv,sap product lifecycle management,8
scw_01-23_sa_v6.csv,sap nw,8
scw_01-23_sa_v6.csv,sap learning hub,8
scw_01-23_sa_v6.csv,sap commerce,8
scw_01-23_sa_v6.csv,sap cloud platform cf,8
scw_01-23_sa_v6.csv,sap build,8
scw_01-23_sa_v6.csv,sap netweaver process integration,7
scw_01-23_sa_v6.csv,sap hcp,7
scw_01-23_sa_v6.csv,sap customer activity repository,7
scw_01-23_sa_v6.csv,sap bi,7
scw_01-23_sa_v6.csv,sap sql anywhere,6
scw_01-23_sa_v6.csv,sap rural sourcing management,6
scw_01-23_sa_v6.csv,sap retail,6
scw_01-23_sa_v6.csv,sap mii,6
scw_01-23_sa_v6.csv,sap digital for customer engagement,6
scw_01-23_sa_v6.csv,sap data services,6
scw_01-23_sa_v6.csv,sap copilot,6
scw_01-23_sa_v6.csv,sap conversational ai,6
scw_01-23_sa_v6.csv,sap circular authority,6
scw_01-23_sa_v6.csv,sap business bydesign,6
scw_01-23_sa_v6.csv,sap agent connection,6
scw_01-23_sa_v6.csv,sap access control,6
scw_01-23_sa_v6.csv,sap workforce performance builder,5
scw_01-23_sa_v6.csv,sap sales,5
scw_01-23_sa_v6.csv,sap quotation and underwriting for insurance,5
scw_01-23_sa_v6.csv,sap mobile documents,5
scw_01-23_sa_v6.csv,sap leonardo machine learning foundation,5
scw_01-23_sa_v6.csv,sap ecc,5
scw_01-23_sa_v6.csv,sap contact center,5
scw_01-23_sa_v6.csv,sap business one,5
scw_01-23_sa_v6.csv,sap business intelligence,5
scw_01-23_sa_v6.csv,saplumira,4
scw_01-23_sa_v6.csv,sap sybase,4
scw_01-23_sa_v6.csv,sap successfactors,4
scw_01-23_sa_v6.csv,sap single sign on,4
scw_01-23_sa_v6.csv,sap realspend,4
scw_01-23_sa_v6.csv,sap predictive integrator,4
scw_01-23_sa_v6.csv,sap opi,4
scw_01-23_sa_v6.csv,sap integration,4
scw_01-23_sa_v6.csv,sap ehs,4
scw_01-23_sa_v6.csv,sap digital consumer insight,4
scw_01-23_sa_v6.csv,sap cloud for customer,4
scw_01-23_sa_v6.csv,sap authenticator,4
scw_01-23_sa_v6.csv,sap adaptive server enterprise,4
scw_01-23_sa_v6.csv,sap web as,3
scw_01-23_sa_v6.csv,sap underwriting for insurance,3
scw_01-23_sa_v6.csv,sap tm,3
scw_01-23_sa_v6.csv,sap successfactors recruiting,3
scw_01-23_sa_v6.csv,sap sales cloud,3
scw_01-23_sa_v6.csv,sap netweaver bw,3
scw_01-23_sa_v6.csv,sap loadrunner,3
scw_01-23_sa_v6.csv,sap landscape transformation,3
scw_01-23_sa_v6.csv,sap knowledge warehouse,3
scw_01-23_sa_v6.csv,sap intelligent business,3
scw_01-23_sa_v6.csv,sap innovation management,3
scw_01-23_sa_v6.csv,sap icm,3
scw_01-23_sa_v6.csv,sap hana platform,3
scw_01-23_sa_v6.csv,sap ectr,3
scw_01-23_sa_v6.csv,sap crystal server,3
scw_01-23_sa_v6.csv,sap crystal reports,3
scw_01-23_sa_v6.csv,sap cloud platforms,3
scw_01-23_sa_v6.csv,sap businessobjects roambi,3
scw_01-23_sa_v6.csv,opensap fiori,3
scw_01-23_sa_v6.csv,sap workplaces,2
scw_01-23_sa_v6.csv,sap vehicle insights,2
scw_01-23_sa_v6.csv,sap utilities,2
scw_01-23_sa_v6.csv,sap transportation management,2
scw_01-23_sa_v6.csv,sap trade promotion optimization,2
scw_01-23_sa_v6.csv,sap task centers,2
scw_01-23_sa_v6.csv,sap successfactors employee central,2
scw_01-23_sa_v6.csv,sap store application,2
scw_01-23_sa_v6.csv,sap sports one,2
scw_01-23_sa_v6.csv,sap real estate,2
scw_01-23_sa_v6.csv,sap promotion management,2
scw_01-23_sa_v6.csv,sap predictive services,2
scw_01-23_sa_v6.csv,sap predictive,2
scw_01-23_sa_v6.csv,sap pos,2
scw_01-23_sa_v6.csv,sap pi,2
scw_01-23_sa_v6.csv,sap omnichannel promotion pricing,2
scw_01-23_sa_v6.csv,sap mdm,2
scw_01-23_sa_v6.csv,sap manufacturing execution,2
scw_01-23_sa_v6.csv,sap leonardo,2
scw_01-23_sa_v6.csv,sap learning solution,2
scw_01-23_sa_v6.csv,sap irpa,2
scw_01-23_sa_v6.csv,sap iq,2
scw_01-23_sa_v6.csv,sap integrated business planning,2
scw_01-23_sa_v6.csv,sap infinite insight,2
scw_01-23_sa_v6.csv,sap identity management,2
scw_01-23_sa_v6.csv,sap hanalite,2
scw_01-23_sa_v6.csv,sap hana dw,2
scw_01-23_sa_v6.csv,sap global track and trace,2
scw_01-23_sa_v6.csv,sap financial closing cockpit,2
scw_01-23_sa_v6.csv,sap enterprise portal,2
scw_01-23_sa_v6.csv,sap emr,2
scw_01-23_sa_v6.csv,sap document center,2
scw_01-23_sa_v6.csv,sap digital consumer insights,2
scw_01-23_sa_v6.csv,sap customer data,2
scw_01-23_sa_v6.csv,sap crystal,2
scw_01-23_sa_v6.csv,sap convergent charging,2
scw_01-23_sa_v6.csv,sap cloud platform cloud foundry,2
scw_01-23_sa_v6.csv,sap cloud for predictive,2
scw_01-23_sa_v6.csv,sap cc,2
scw_01-23_sa_v6.csv,sap business objects,2
scw_01-23_sa_v6.csv,sap buildt,2
scw_01-23_sa_v6.csv,sap bs,2
scw_01-23_sa_v6.csv,sap bpc,2
scw_01-23_sa_v6.csv,sap bank communication management,2
scw_01-23_sa_v6.csv,sap ar warehouse picker,2
scw_01-23_sa_v6.csv,mysap business suite,2
scw_01-23_sa_v6.csv,sapjam,1
scw_01-23_sa_v6.csv,saphanahdi,1
scw_01-23_sa_v6.csv,sapcp,1
scw_01-23_sa_v6.csv,sapcc cf,1
scw_01-23_sa_v6.csv,sapcar,1
scw_01-23_sa_v6.csv,sap web analytics,1
scw_01-23_sa_v6.csv,sap umira,1
scw_01-23_sa_v6.csv,sap ui,1
scw_01-23_sa_v6.csv,sap supply chain management,1
scw_01-23_sa_v6.csv,sap supplier relationship,1
scw_01-23_sa_v6.csv,sap successfactors succession development,1
scw_01-23_sa_v6.csv,sap successfactors succession,1
scw_01-23_sa_v6.csv,sap successfactors performance,1
scw_01-23_sa_v6.csv,sap successfactors onboarding,1
scw_01-23_sa_v6.csv,sap successfactors compensation,1
scw_01-23_sa_v6.csv,sap success factors,1
scw_01-23_sa_v6.csv,sap store appcenter,1
scw_01-23_sa_v6.csv,sap srm,1
scw_01-23_sa_v6.csv,sap sourcing,1
scw_01-23_sa_v6.csv,sap scp cf platform,1
scw_01-23_sa_v6.csv,sap scp,1
scw_01-23_sa_v6.csv,sap sales ondemand,1
scw_01-23_sa_v6.csv,sap real spend,1
scw_01-23_sa_v6.csv,sap re,1
scw_01-23_sa_v6.csv,sap rapid deployment solutions,1
scw_01-23_sa_v6.csv,sap qualtrics,1
scw_01-23_sa_v6.csv,sap quality center,1
scw_01-23_sa_v6.csv,sap product lifecycle,1
scw_01-23_sa_v6.csv,sap product configuration,1
scw_01-23_sa_v6.csv,sap ppms,1
scw_01-23_sa_v6.csv,sap powerdesigner,1
scw_01-23_sa_v6.csv,sap portal,1
scw_01-23_sa_v6.csv,sap policy management,1
scw_01-23_sa_v6.csv,sap plm,1
scw_01-23_sa_v6.csv,sap personas,1
scw_01-23_sa_v6.csv,sap operational process inteligence,1
scw_01-23_sa_v6.csv,sap operation process intelligence,1
scw_01-23_sa_v6.csv,sap nwbp,1
scw_01-23_sa_v6.csv,sap nw identity management,1
scw_01-23_sa_v6.csv,sap netweaver process,1
scw_01-23_sa_v6.csv,sap netweaver operational process intelligence,1
scw_01-23_sa_v6.csv,sap netweaver cloud integration,1
scw_01-23_sa_v6.csv,sap multiresource scheduling,1
scw_01-23_sa_v6.csv,sap multiresource sched,1
scw_01-23_sa_v6.csv,sap mobile platform,1
scw_01-23_sa_v6.csv,sap mobile,1
scw_01-23_sa_v6.csv,sap manufacturing,1
scw_01-23_sa_v6.csv,sap machine learning,1
scw_01-23_sa_v6.csv,sap ltrs,1
scw_01-23_sa_v6.csv,sap logistics,1
scw_01-23_sa_v6.csv,sap leonardo machine learning,1
scw_01-23_sa_v6.csv,sap leave request,1
scw_01-23_sa_v6.csv,sap learning,1
scw_01-23_sa_v6.csv,sap ipa,1
scw_01-23_sa_v6.csv,sap iot application enablement,1
scw_01-23_sa_v6.csv,sap intercompany data exchange,1
scw_01-23_sa_v6.csv,sap intelligent,1
scw_01-23_sa_v6.csv,sap integrated business planing,1
scw_01-23_sa_v6.csv,sap insurance agent portal,1
scw_01-23_sa_v6.csv,sap insurance,1
scw_01-23_sa_v6.csv,sap infinteinsight,1
scw_01-23_sa_v6.csv,sap hybris marketing,1
scw_01-23_sa_v6.csv,sap hybris commerce,1
scw_01-23_sa_v6.csv,sap hec,1
scw_01-23_sa_v6.csv,sap hcm,1
scw_01-23_sa_v6.csv,sap hci,1
scw_01-23_sa_v6.csv,sap hanahost,1
scw_01-23_sa_v6.csv,sap hana finance cloud,1
scw_01-23_sa_v6.csv,sap hana enterprise cloud,1
scw_01-23_sa_v6.csv,sap hana data warehousing,1
scw_01-23_sa_v6.csv,sap hana cf,1
scw_01-23_sa_v6.csv,sap graph,1
scw_01-23_sa_v6.csv,sap gardener,1
scw_01-23_sa_v6.csv,sap fs,1
scw_01-23_sa_v6.csv,sap fortify,1
scw_01-23_sa_v6.csv,sap for insurance,1
scw_01-23_sa_v6.csv,sap financial statement insights,1
scw_01-23_sa_v6.csv,sap financial services network,1
scw_01-23_sa_v6.csv,sap erc,1
scw_01-23_sa_v6.csv,sap epm,1
scw_01-23_sa_v6.csv,sap environmental compliance,1
scw_01-23_sa_v6.csv,sap enhancement package,1
scw_01-23_sa_v6.csv,sap engineering control center,1
scw_01-23_sa_v6.csv,sap energy portfolio management,1
scw_01-23_sa_v6.csv,sap document access,1
scw_01-23_sa_v6.csv,sap digital,1
scw_01-23_sa_v6.csv,sap data quality management,1
scw_01-23_sa_v6.csv,sap customer relationship,1
scw_01-23_sa_v6.csv,sap customer profile,1
scw_01-23_sa_v6.csv,sap customer order sourcing,1
scw_01-23_sa_v6.csv,sap customer engagement intelligence,1
scw_01-23_sa_v6.csv,sap cpq,1
scw_01-23_sa_v6.csv,sap cpi,1
scw_01-23_sa_v6.csv,sap cp cloud foundry,1
scw_01-23_sa_v6.csv,sap cp cf,1
scw_01-23_sa_v6.csv,sap could platform,1
scw_01-23_sa_v6.csv,sap concur,1
scw_01-23_sa_v6.csv,sap cloud for real estate,1
scw_01-23_sa_v6.csv,sap ccloud,1
scw_01-23_sa_v6.csv,sap cash application,1
scw_01-23_sa_v6.csv,sap cai,1
scw_01-23_sa_v6.csv,sap c4 hana,1
scw_01-23_sa_v6.csv,sap busobj,1
scw_01-23_sa_v6.csv,sap business suite on hana,1
scw_01-23_sa_v6.csv,sap business planning and consolidation,1
scw_01-23_sa_v6.csv,sap business by design,1
scw_01-23_sa_v6.csv,sap bpm,1
scw_01-23_sa_v6.csv,sap bo,1
scw_01-23_sa_v6.csv,sap big data margin assurance,1
scw_01-23_sa_v6.csv,sap asset retirement obligation management,1
scw_01-23_sa_v6.csv,sap asset information workbench,1
scw_01-23_sa_v6.csv,sap ariba procurement,1
scw_01-23_sa_v6.csv,sap application,1
scw_01-23_sa_v6.csv,sap appcenter,1
scw_01-23_sa_v6.csv,sap accounts payable,1
scw_01-23_sa_v6.csv,mysap crm,1
scw_01-23_sa_v6.csv,cloud foundry sap,1
