Filename,Tag,Count
scw_1-149_220-272_da.csv,sap hana,16595
scw_1-149_220-272_da.csv,sap cloud platform,5498
scw_1-149_220-272_da.csv,sap cp,3854
scw_1-149_220-272_da.csv,sap netweaver,3422
scw_1-149_220-272_da.csv,sap fiori,3035
scw_1-149_220-272_da.csv,sap businessobjects,2599
scw_1-149_220-272_da.csv,sap erp,1559
scw_1-149_220-272_da.csv,sap marketing,1476
scw_1-149_220-272_da.csv,sap hybris,1160
scw_1-149_220-272_da.csv,sap crm,1116
scw_1-149_220-272_da.csv,sap web ide,1020
scw_1-149_220-272_da.csv,sap analytics cloud,847
scw_1-149_220-272_da.csv,sap iq,573
scw_1-149_220-272_da.csv,sap gateway,514
scw_1-149_220-272_da.csv,sap ase,494
scw_1-149_220-272_da.csv,sap bobj,476
scw_1-149_220-272_da.csv,sap solution manager,473
scw_1-149_220-272_da.csv,sap epm,446
scw_1-149_220-272_da.csv,sap mobile platform,421
scw_1-149_220-272_da.csv,sap lumira,418
scw_1-149_220-272_da.csv,sap api business hub,387
scw_1-149_220-272_da.csv,sap byd,350
scw_1-149_220-272_da.csv,sap cloud connector,338
scw_1-149_220-272_da.csv,sap cloud identity,328
scw_1-149_220-272_da.csv,sap business bydesign,328
scw_1-149_220-272_da.csv,sap api management,318
scw_1-149_220-272_da.csv,sap powerdesigner,317
scw_1-149_220-272_da.csv,sap commerce,293
scw_1-149_220-272_da.csv,sap predictive analytics,253
scw_1-149_220-272_da.csv,sap sop,250
scw_1-149_220-272_da.csv,sap ii,247
scw_1-149_220-272_da.csv,sap data intelligence,233
scw_1-149_220-272_da.csv,sap ecc,211
scw_1-149_220-272_da.csv,sap pos,185
scw_1-149_220-272_da.csv,sap cloud alm,164
scw_1-149_220-272_da.csv,sap business objects,160
scw_1-149_220-272_da.csv,sap tutor,151
scw_1-149_220-272_da.csv,sap data hub,149
scw_1-149_220-272_da.csv,sap cc,144
scw_1-149_220-272_da.csv,sap gds,132
scw_1-149_220-272_da.csv,sap screen personas,131
scw_1-149_220-272_da.csv,sap retail,131
scw_1-149_220-272_da.csv,sap operational process intelligence,122
scw_1-149_220-272_da.csv,sap banking,119
scw_1-149_220-272_da.csv,sap web analytics,115
scw_1-149_220-272_da.csv,sap cloud for customer,114
scw_1-149_220-272_da.csv,sap business intelligence,113
scw_1-149_220-272_da.csv,sap sourcing,107
